Tên phim,Đạo diễn,Mô tả,Poster URL
Max Điên: Con Đường Tử Thần,George Miller,"The flame-shooting guitarist is Australian artist/musician Sean Hape (his father is Maori so his surname would be pronounced ""hah-peh""), better known as Iota. In an interview on Vice (2013), he said the guitar weighed 132 pounds and shot real gas-powered flames, which he controlled using the whammy bar.","https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Tay Lái Siêu Hạng,Nicolas Winding Refn,"In preparation for his role, Ryan Gosling restored the 1973 Chevy Malibu that his character uses in the film.","https://m.media-amazon.com/images/M/MV5BYTFmNTFlOTAtNzEyNi00MWU2LTg3MGEtYjA2NWY3MDliNjlkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Tội Phạm Nhân Bản 2049,Denis Villeneuve,"The first letter of the names of each of the wooden animals that Rick Deckard carved in this movie: Rhino, Antelope, Cat, Horse, Elephant, Lion, spell ""RACHEL"".","https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Đại Suy Thoái,Adam McKay,"After Christian Bale met with the real Dr. Michael Burry, he asked to have Burry's cargo shorts and T-shirt, which he then wore in the movie. Bale later said he hoped Burry would make it to the film's L.A. premiere, ""because I really want to sit next to him and see if he's going to punch me in the f***ing face.""","https://m.media-amazon.com/images/M/MV5BZDZkNDQ3YjktYjBlZC00YTY1LTgxOGYtY2RhMWFhZmNkZGY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg"
Yêu Điên Dại,Glenn Ficarra,"While rehearsing for the scene where Ryan Gosling lifted Emma Stone in the air ""Dirty Dancing"" style, Stone didn't realize she had a phobia of being lifted high up until the first time Gosling did it. She had a full meltdown, which Gosling described as ""like a possum falling out of a tree and trying to scratch your eyes out."" Afterwards she ran away crying and had to lie in bed watching Labyrinth to calm down. Her phobia came from when she was 7 years old and fell off the high bars in gymnastics and broke both her arms. They ended up using a body double for the lift, but they did use the recording of Stone's real screams.","https://m.media-amazon.com/images/M/MV5BMTg2MjkwMTM0NF5BMl5BanBnXkFtZTcwMzc4NDg2NQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Kế Nghiệp,Jesse Armstrong,"Take a look back at the TV and movie roles of Kieran Culkin, Sarah Snook, Brian Cox, and more stars of ""Succession.""","https://m.media-amazon.com/images/M/MV5BNTEwNTFkZTktMzI1OC00YmRjLWE5NTUtYmZhMmJlNGUxMWU1XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Bố Già,Francis Ford Coppola,"See the complete list of Best Picture winners. For fun, use the ""sort order"" function to rank by IMDb rating and other criteria.","https://m.media-amazon.com/images/M/MV5BYTJkNGQyZDgtZDQ0NC00MDM0LWEzZWQtYzUzZDEwMDljZWNjXkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg"
Võ Đường Cobra Kai,Josh Heald,"During the original Karate Kid shoot, late director John G. Avildsen shot hours of tournament footage from multiple angles. The crew behind Cobra Kai searched the studio vault and found a ton of never-before-seen clips, which they were able to introduce into the series via flashbacks. One of them includes Zabka's real life mom, who was in the stands in different angles that went unseen until 2018. Ralph Macchio told Uproxx there are three brand new angles of the famous crane kick.","https://m.media-amazon.com/images/M/MV5BYjA3NDkwNzktNjJkYi00ODNhLWFhYzQtYzk5NjU4MDM0OWZmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Liên Minh Công Lý - Phiên bản của Zack Snyder,Zack Snyder,"Henry Cavill, perhaps best known for playing Clark Kent/Superman in the DC Extended Universe, stars as Geralt of Rivia in ""The Witcher."" What other roles has he played?","https://m.media-amazon.com/images/M/MV5BNDA0MzM5YTctZTU2My00NGQ5LWE2NTEtNDM0MjZmMDBkOTZkXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Lách Luật,Peter Nowalk,Viola Davis became the first African-American woman to receive an Emmy Award for Outstanding Lead Actress in a Drama Series because of her work on this show. She won in that category in 2015.,"https://m.media-amazon.com/images/M/MV5BMzFmY2ZjMGEtYzA3OS00OGZiLTkwMWItZjk2NDQ3MmQxMjQ5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"
